Time,pm10_standard,pm25_standard,pm100_standard,Temperature,Gas,Humidity,Pressure,Altitude
1677280369,0,1,1,21.870234375,149287,28.345634388925237,996.8613569217546,137.34895335218013
1677280370,0,1,1,21.8266796875,153108,28.270140690967242,996.8658750723857,137.3108367665254
1677280371,1,1,2,21.78078125,155525,28.216671610351497,996.8682302397018,137.29096786584572
1677280373,1,1,2,21.737421875,157721,28.163432263739786,996.8677996322615,137.29460059703968
1677280374,1,1,2,21.6899609375,158617,28.137573593870293,996.8640281625366,137.3264178807523
1677280375,0,0,0,21.6450390625,159676,28.10085758319536,996.8644795984119,137.3226094231146
1677280376,0,0,0,21.603046875,159221,28.092044816974553,996.8768123212881,137.21856716289108
1677280377,0,0,0,21.5628125,159372,28.072309729072963,996.8763022002823,137.22287066408208
1677280379,0,1,1,21.52453125,161368,28.091447223992965,996.8825439592954,137.17021383458135
1677280380,1,2,2,21.4911328125,161680,28.12203079975925,996.8829083708786,137.1671395878702
1677280381,1,2,2,21.4579296875,164055,28.169234051323453,996.8730859269501,137.2500039460078
1677280382,1,1,1,21.4274609375,162938,28.233270262921017,996.8222881045912,137.67855641300642
1677280383,1,1,1,21.4003125,163894,28.3031293557098,996.7997908351467,137.8683587879197
1677280385,1,1,1,21.3758984375,165514,28.356609898377016,996.7713448719072,138.1083533839333
1677280386,0,1,1,21.3551953125,165350,28.427028194870637,996.7298246941037,138.45866324653392
1677280387,0,1,1,21.3348828125,166833,28.519694758060716,996.694209310198,138.75916319146828
1677280388,0,1,1,21.318671875,167500,28.5738940948517,996.665432282154,139.00197179208442
1677280389,0,1,1,21.30421875,168173,28.650457160566553,996.6395860674804,139.22005624660233
1677280391,0,1,1,21.288984375,168851,28.72144260470583,996.6106868888875,139.46390633597127
1677280392,0,1,1,21.2786328125,172148,28.776178056939415,996.5829251752891,139.69816393402152
1677280393,0,1,1,21.271015625,171971,28.853388834827467,996.5404642192615,140.05646621584472
1677280394,0,1,1,21.2665234375,170570,28.93089059955872,996.51371768961,140.28217032022224
1677280395,0,1,1,21.2630078125,172859,29.01964576119803,996.4763444096587,140.59755786882596
1677280396,0,1,1,21.2618359375,174298,29.08636656266178,996.4358755006783,140.9390797709497
1677280398,0,1,1,21.2622265625,174661,29.147673196911363,996.3787534932743,141.42115825199573
1677280399,0,1,1,21.26125,174116,29.19774930320891,996.3438625477194,141.7156297465906
1677280400,0,1,1,21.2614453125,175209,29.214487267803662,996.3196783562817,141.91974361723527
