Time,pm10_standard,pm25_standard,pm100_standard,Temperature,Gas,Humidity,Pressure,Altitude
1677279096,0,0,0,22.2579296875,141350,29.77085613084389,996.8446941747872,137.48952690479567
1677279097,0,0,0,22.255390625,141231,29.76504039829588,996.8492318923489,137.45124472834263
1677279098,0,0,0,22.252265625,142432,29.770389115926317,996.8510401275597,137.43598970198957
1677279100,0,0,0,22.2501171875,142190,29.764605670873962,996.8457080143803,137.4809736968869
1677279101,0,0,0,22.2485546875,143040,29.764476867443342,996.8536256767552,137.41417696960858
1677279102,0,0,0,22.2471875,144148,29.775576933076238,996.8425813503253,137.5073516671843
1677279103,0,0,0,22.2462109375,144148,29.76428366632125,996.8479682107145,137.46190568692637
1677279104,0,0,0,22.2450390625,144148,29.769793310255515,996.8530297103596,137.41920477762807
1677279106,0,0,0,22.2430859375,144521,29.78084540064401,996.8585431926334,137.3726909552737
1677279107,0,0,0,22.242109375,144896,29.775158210543438,996.8428894694299,137.50475223029238
1677279108,0,0,0,22.240546875,146801,29.791849959657362,996.8437934996572,137.4971254121788
1677279109,0,0,0,22.24015625,145906,29.80303257541409,996.8448961899029,137.4878226136346
1677279110,0,0,0,22.2409375,146033,29.819921022782296,996.8532110418668,137.417674993122
1677279112,0,0,0,22.2430859375,147318,29.825706866048094,996.8532830566636,137.41706744779358
1677279113,0,0,0,22.2434765625,146930,29.8313478239395,996.8539337407042,137.41157802134973
1677279114,0,0,0,22.2415234375,147447,29.82557784839116,996.8471735736649,137.46860959044395
1677279115,0,0,0,22.2411328125,147968,29.81993714722717,996.8465228924341,137.4740990233302
1677279116,0,0,0,22.2419140625,149154,29.8200016453425,996.8460708800314,137.47791240036202
1677279117,0,0,0,22.240546875,148757,29.819888773993323,996.836780015971,137.5562945588618
1677279119,0,0,0,22.2395703125,148757,29.81980815260866,996.8421668003259,137.51084900591354
1677279120,0,0,0,22.2383984375,149554,29.819711408055447,996.8384613971015,137.54210958223163
1677279121,0,0,0,22.238984375,150224,29.82536819928397,996.8359306813051,137.56345998052086
1677279122,0,0,0,22.2380078125,150090,29.814070979285287,996.8307972641699,137.60676821834537
1677279123,0,0,0,22.2364453125,150901,29.82515855585396,996.8334546486201,137.58434908690558
1677279125,0,0,0,22.2360546875,151173,29.80830183727403,996.8328039722901,137.58983853961612
1677279126,0,0,0,22.2352734375,151037,29.80262966935873,996.8332559762224,137.58602519295565
1677279127,0,0,0,22.2348828125,151584,29.80259743778074,996.8378653651317,137.54713800540424
1677279128,0,0,0,22.233515625,151584,29.80809229960175,996.839094688447,137.53676682304103
1677279129,0,0,0,22.234296875,152689,29.802549090665554,996.843902760957,137.49620363358102
1677279131,0,0,0,22.233515625,152968,29.824916666643166,996.8426013923106,137.50718258360183
1677279132,0,0,0,22.231171875,153388,29.824723160716744,996.8369439439443,137.5549115792027
1677279133,0,0,0,22.228828125,154094,29.835746909882502,996.8453132261642,137.48430430743176
1677279134,0,0,0,22.2282421875,154094,29.83008978984268,996.8460905303277,137.4777466217203
1677279135,0,0,0,22.2266796875,154806,29.846787578602605,996.8399811036999,137.52928858991896
1677279137,0,0,0,22.2251171875,154663,29.846658502132268,996.837378354789,137.55124666952585
1677279138,0,0,0,22.2227734375,155669,29.85207422710575,996.833474235169,137.58418384437087
1677279139,0,0,0,22.2216015625,156104,29.857586954244802,996.8280155388682,137.63023640824832
1677279140,0,0,0,22.2196484375,156104,29.863035312891718,996.8265154356618,137.6428921396145
1677279141,0,0,0,22.2212109375,156835,29.84072673060267,996.8256115374124,137.650517951321
1677279143,0,0,0,22.2235546875,156982,29.85774834498137,996.8189956899695,137.7063332612874
